hash,result
0001c3c7e4c275cc399237280f8b6180.vir,0
0001fae05d329f3fc488ff55533b5a7a.vir,0
0002a9c82c0672447df932cda3262457.vir,1
0006ec9e80f9c904fb2ddf5c546732da.vir,0
0018a0cada9e2903325abb6854fef125.vir,1
001d416cd79105312f6317390402296f.vir,0
0031da987f97693ad5dddf3a8e4774cc.vir,1
0037d410b29121a76cd68adfe62b725c.vir,0
003c84fafac6ecbc0cddaec13aa699aa.vir,1
004029de7ef3797606353e9698016624.vir,1
004cd3b4ea2f431df33291fd6d540522.vir,0
004dfb3da21c0a2877ac3fddad82c912.vir,1
004f496ab49dcc8abaf4f5898d2f290a.vir,1
0054e8d1e9c156c5c8f7fcd09839631c.vir,0
006ad72bb15b74232e0a06edc67a4474.vir,0
007a63483d3455ae3986dedb3a57b897.vir,0
00827edf3af0abb8c5449442d4b52fc1.vir,1
008533a130b37305fa6f64b4291260a3.vir,1
008a93978b607cfb18eb594d0f0b4a8f.vir,0
00966f3ecfb4e5dd5486c629cad6229d.vir,0
009efc4698d1b96175a077a61f4d9893.vir,1
00aa33ad6bcfc6fc11ecc71033a4a255.vir,1
00b7929b609a11c28012ba9185f5d172.vir,1
00bf9ea0382e5ba1dc5c7bda26d7a6fe.vir,0
00cdf6c25aeb8db776c44f9c4136b12a.vir,1
00ce282c51d2686136bb8315ae1fcc20.vir,1
00d6bc1bf83a071b5ffa8a9361da22a3.vir,1
00f1a7e1ddf365d4a5bca6f047ce4ed9.vir,0
00f780cee603541873b545e3aa77cacc.vir,0
00fae0b38a58a49f47aeb0de1b301a16.vir,0
00fe2eed7cc96a61e7cd058150dec213.vir,0
0114a6b9ef5766c026a13c29a172f7c2.vir,0
0117847c8a50e92dd28b595a25c1e5a0.vir,0
012dcce2ddfc89866bacfa692287a88b.vir,1
012f527a0a34ab55f2a436abd47f8e2c.vir,1
012fe3a8c1370b6d8516ed656d659ca5.vir,0
0131f3272d8dcbc062d4f7a75f4ed16b.vir,0
01450af150d96c8008af7427f01e0051.vir,1
0150bc2970a2968f76b669e06e83339e.vir,1
0153bc98b03c845eac2e4bf1cf331a8f.vir,1
01551048d81274766979b39f3c4bf8a6.vir,0
0160148b734601bc86d815cb4b150d22.vir,1
01654153df006818a681300ae75ced24.vir,0
0169f5b140838b80985e0dc5b5cacda2.vir,0
016c2105277c0871dd3c850d28c1e42d.vir,0
017459aa6baca3be332df744fdbe81cf.vir,0
01772078b8dca3f2bab0af29d968590f.vir,0
017b75ea2348245bbb8bf7a7bbb5b10a.vir,1
017f5f333b268f9c4099f7dc31c3d4a0.vir,0
0184540d6c97c9a73e3f09fdf93c5fdd.vir,1
01887dfc87ffa549af81f3675e963f07.vir,0
019f3360d6b04124caeb0d082341573c.vir,1
01a474dfd288bff4ce48077cd6546218.vir,1
01aba012441a82a56cb0ffb270462f52.vir,0
