000958dfc6c455b5106d1e1326698bd4.vir,1
000a80f082ef82e04d5396740f288815.vir,1
000d09bdcaadf86549118d6be24862cb.vir,1
0013418a90e36ffa02d13064fc705144.vir,1
0014f80eb7ae874afd50a175441de885.vir,1
001730d479227a77845396c41292e9e4.vir,1
002037a4f03d3d56090af67e888e267a.vir,1
0033f6a1a20bcb2134c02794228c6ff2.vir,0
00348b5935ebb36340d91d08b8212394.vir,0
0035e6d795d17646f7a9604f00e9a67d.vir,1
0037ff699d85afc97ae95b42e7d63059.vir,1
003938d13a693e8bd032a7487db216ca.vir,0
004717af172067f53cc4971f283179f8.vir,1
004db12059f2a07b25f9051f1eeceec3.vir,0
005485fd79c97c304e9f1da5dafb9180.vir,1
0054e60375a489f78b7bb94a2c2624d7.vir,1
005e36f6949760f5489829747d73aaaa.vir,1
006a46527449c37075931c46377d15c0.vir,1
006a5286614f32956589ad9da90a722e.vir,0
0071374d6b6d1fb8a782ac35197b2323.vir,1
0079dbf7c98e27f56ce9baea6345c382.vir,1
007c6811899efa1b6ebb283627f036ea.vir,1
0081b9b3810d2a6fa2282c9ac54c9195.vir,1
0083244e24dc9a1fdd35ffdfb5fa3990.vir,1
008a13a508ea869d3856f8ade5bd5908.vir,1
009f67e9f3199af8225f75db51eeade8.vir,1
00a6d25c2064ce7b6a92833938f61c6c.vir,1
00b03438c4b354b25ea6f14673782735.vir,0
00b5687aa8758bb42c8c1fe27a55b121.vir,0
00bbeba0048e98819ebfa7d202535eec.vir,0
00d1933441570af02af463807d0a1434.vir,1
00dfb236483e67fba3674fc49710c3cd.vir,1
00e8332fec7ab3ecbafe983281b3225b.vir,1
00fcef889191226983c200d94d45ea5e.vir,1
00fd3c02579aeba6ccf3240f7aedae55.vir,1
0104851a536007de944354e0fd7c41db.vir,1
010f40bc71e754b8a87f28d0928e4c85.vir,1
0112fd0870be7251e2240e85b2068fd7.vir,1
011833d293a066911bf12ec18889f374.vir,1
011de4c3fec9ca553da94c2631c6efac.vir,1
0123dc9a126d14c6f46fd22afe11f0c5.vir,0
012685fa545b99c51ba9ee88173126a2.vir,0
012d56ef3640439b27634e99e1d8215e.vir,1
01436ba301f4b0bb9858a9798ef05e96.vir,1
0148061af1306458344e25c8325efe1c.vir,1
014b82fe0bf47f56051ac6d84977e6f7.vir,1
0153290863d3e7cfe819124cb1337b0f.vir,1
